Timestamp,Bike Lanes have negatively affected my business,Bikes slow traffic which in turn make it harder for consumers using cars to get to my business ,If the city gets rid of bike lanes that would mean more parking for my consumers,Bike lanes have allowed more people to access my Business
4/21/2024 13:05:57,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree
4/21/2024 13:06:22,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
4/21/2024 13:37:26,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree
4/21/2024 13:50:24,Strongly Disagree,Somewhat Disagree,Somewhat Disagree,Neither Agree nor Disagree
4/21/2024 14:06:37,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/21/2024 14:25:57,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neither Agree nor Disagree
4/21/2024 14:43:21,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Disagree
4/21/2024 14:44:21,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
4/21/2024 15:34:25,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree
4/21/2024 16:02:08,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Disagree,Neither Agree nor Disagree
4/21/2024 16:50:03,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree
4/21/2024 19:53:23,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/21/2024 20:12:43,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/21/2024 21:42:56,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/22/2024 0:29:57,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree
4/22/2024 3:52:15,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
4/22/2024 6:23:09,Strongly Disagree,Strongly Disagree,Somewhat Disagree,Neither Agree nor Disagree
4/22/2024 7:20:08,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree
4/22/2024 7:31:24,Neither Agree nor Disagree,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree
4/22/2024 7:42:16,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
4/22/2024 7:55:35,Neither Agree nor Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree
4/22/2024 7:58:22,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
4/22/2024 8:31:33,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree
4/22/2024 9:40:27,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Disagree
4/22/2024 9:45:04,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/22/2024 9:56:20,Strongly Disagree,Somewhat Disagree,Strongly Agree,Somewhat Agree
4/22/2024 10:30:44,Strongly Disagree,Strongly Disagree,Strongly Disagree,
4/22/2024 11:06:54,Strongly Agree,Strongly Agree,Somewhat Agree,Somewhat Disagree
4/22/2024 13:08:29,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
4/22/2024 13:10:56,Strongly Disagree,Strongly Disagree,Somewhat Agree,Neither Agree nor Disagree
4/22/2024 13:13:43,Strongly Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree
4/22/2024 13:19:44,Strongly Agree,Strongly Agree,Neither Agree nor Disagree,Strongly Disagree
4/22/2024 13:26:12,Neither Agree nor Disagree,Somewhat Agree,Strongly Agree,Strongly Disagree
4/22/2024 13:43:25,Neither Agree nor Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
4/22/2024 14:00:59,Somewhat Agree,Neither Agree nor Disagree,Somewhat Disagree,Somewhat Disagree
4/22/2024 14:27:18,Neither Agree nor Disagree,Strongly Disagree,Somewhat Agree,Strongly Disagree
4/22/2024 20:20:03,Neither Agree nor Disagree,Strongly Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/22/2024 20:25:47,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat Agree
4/23/2024 9:14:17,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
4/23/2024 15:12:03,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/23/2024 16:03:27,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree
4/24/2024 14:09:02,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither Agree nor Disagree
4/25/2024 10:30:02,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree,Neither Agree nor Disagree
4/28/2024 11:01:13,Neither Agree nor Disagree,Neither Agree nor Disagree,Somewhat Agree,Neither Agree nor Disagree
4/29/2024 14:13:53,Neither Agree nor Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree